GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
connect4-game,org.connect4,Game,94,210,18,20,28,62,18,17,3,12
connect4-game,org.connect4,Board,24,348,6,48,11,62,6,32,0,11
connect4-game,org.connect4,Main,15,28,0,0,6,9,1,2,1,2
connect4-game,org.connect4,Player,0,15,0,0,0,6,0,3,0,3
